'Key','Item Type','Publication Year','Author','Title','Publication Title','ISBN','ISSN','DOI','Url','Abstract Note','Date','Date Added','Date Modified','Access Date','Pages','Num Pages','Issue','Volume','Number Of Volumes','Journal Abbreviation','Short Title','Series','Series Number','Series Text','Series Title','Publisher','Place','Language','Rights','Type','Archive','Archive Location','Library Catalog','Call Number','Extra','Notes','File Attachments','Link Attachments','Manual Tags','Automatic Tags','Editor','Series Editor','Translator','Contributor','Attorney Agent','Book Author','Cast Member','Commenter','Composer','Cosponsor','Counsel','Interviewer','Producer','Recipient','Reviewed Author','Scriptwriter','Words By','Guest','Number','Edition','Running Time','Scale','Medium','Artwork Size','Filing Date','Application Number','Assignee','Issuing Authority','Country','Meeting Name','Conference Name','Court','References','Reporter','Legal Status','Priority Numbers','Programming Language','Version','System','Code','Code Number','Section','Session','Committee','History','Legislative Body'
'NIQ27RFF','conferencePaper',2014,'Wangen; Gaute; Snekkenes; Einar Arthur','A Comparison between Business Process Management and ISM ','FEDERATED CONFERENCE ON COMPUTER SCIENCE AND INFORMATION SYSTEMS; 2014','978-83-60810-58-3',,'10.15439/2014F77','https://fedcsis.org/proceedings/2014/drp/77.html','—InformationSecurity  Standards such as NIST SP 800-39 and ISO/IEC 27005:2011 are turning their scope towards business process security. And rightly so; as introducing an infor- mation security control into a business-processing environment is likely to affect business process flow; while redesigning a business process will most certainly have security implications. Hence; in this paper; we investigate the similarities and differences between Business Process Management (BPM) and ISM ; and explore the obstacles and opportunities for integrating the two concepts. We compare three levels of abstraction common for both approaches; top-level implementa- tion strategies; organizational risk views & associated tasks; and domains. With some minor differences; the comparisons shows that there is a strong similarity in the implementation strategies; organizational views and tasks of both methods. The domain comparison shows that ISM maps to the BPM domains; however; some of the BPM domains have only limited support in ISM.',2014,'2018-11-29 12:52:46','2018-11-29 12:52:46',,'901–910',,,2,,,,'ACSIS-Annals of Computer Science and Information Systems',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'TAYYYXNX','conferencePaper',2012,'Chernyavskiy; Dmitry; Miloslavskaya; Natalia','A concept of unification of network security policies','Proceedings of the Fifth International Conference on Security of Information and Networks - SIN 12','978-1-4503-1668-2',,'10.1145/2388576.2388579','http://dl.acm.org/citation.cfm?doid=2388576.2388579','Security policy is a main mechanism of ISM . While there are a lot of security-related standards and guidelines which specify requirements for high-level security policies; implementation of network security policy still depends on interfaces provided by network security systems (NSS). Obviously; diversity of policy representation languages affects efficiency of policy deployment process. The paper proposes a concept of unification of policy rules for NSSs as a solution for the problem. The idea is based on a formal language which makes it possible to formalize network security policies independently of particular NSSs.',2012,'2018-11-29 12:52:46','2018-11-29 12:52:46',,'27–32',,,,,,,,,,,'Malaviya Natl Inst Technol; Macquarie Univ; Aksaray Univ; So Fed Univ; Indian Inst Technol; Govt India; Minist Informat & Commun Technol; Project Informat Secur Educ Awareness (ISEA)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'SA9DUMIV','journalArticle',2015,'Zaini; Muhamad Khairulnizam; Masrek; Mohamad Noorman; Sani; Mad Khir Johari Abdullah','A conceptual overview on the relationship between InformationSecurity  practices and organizational agility','Advanced Science Letters',,19367317,'10.1166/asl.2015.6002',,' All rights reserved.   informationTechnology    is perceived to play an essential role in organizational agility (OA); and often is regarded as an enabler for efficient information flows purposely for a good business decision making. In pursuing agility of an organization; alertness on the incoming signals from internal and external environments is necessary in undertaking an adequate respond. Providing organization with sufficient information for decision making is a must. In that case; utilization of InformationTechnology is found to be crucial. However; the dependency on InformationTechnology is also found to be a hindrance factor for achieving OA. The InformationTechnology related issues such as security and cyber threats; rapid and continuous technological advancement and obsolescent issues are very alarming; but ironically it is apparent that organizations are continuously spending money on technological infrastructure to ensure their sustainability in this competitive world. The continuous investment on InformationTechnology infrastructure are sought to contribute to the agility of an organization; but mining the literatures unveiled that despite the growing body of research focusing on the effects of InformationTechnology systems on OA; studies focuses on securing information as part of technological strategies in achieving OA is yet to be explored. In the effort to contribute to the existing body of knowledge on the business value of InformationSecurity ; this paper addresses the high level research question in regards to the relationships between ISM  and organizational agility (OA) in a highly competitive business organizations and thus developing the basic research framework for the study.',2015,'2018-11-29 12:52:47','2018-11-29 12:52:47',,'1289–1292',,5,21,,,,,,,,,,,,,,,,,,,,,'ISMS; InformationSecurity ; ISO/IEC 27001; ISM ; Organizational agility; Agility',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'DHXBYGZX','journalArticle',2017,'Armeanu; Stefan Daniel; Vintila; Georgeta; Gherghina; Stefan Cristian','a Cross-Country Empirical Study Towards the Impact of Following Iso Management System Standards on Euro-Area Economic Confidence','Amfiteatru Economic',,'1582-9146',,,'This study aims to examine the impact of following ISO management system standards on economic sentiment indicator (ESI) as proxy of economic agents general view concerning economic activity; for 21 European Union member states over 2005-2014. The empirical research comprises ISO standards with reference to management systems towards quality (ISO 9001; ISO 13485; ISO 16949); food safety (ISO 22000); environment (ISO 14001); and InformationSecurity  (ISO 27001). Panel data fixed effects regression models provide support for a positive impact of the quality management systems related to automotive industry; as well as  ISM s; on the ESI. Further; dynamic panel data approach by way of two-step system generalized method of moments emphasizes a positive influence of quality management systems standard for the medical device industry on Euro-area economic confidence; but a negative effect of food safety management systems. Also; ISO 9001; ISO 22000; and ISO 14001 Granger cause ESI.',2017,'2018-11-29 12:52:47','2018-11-29 12:52:47',,'144–165',,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'WRAFTCEX','conferencePaper',2009,'Iqbal; Ahmad; Horie; Daisuke; Goto; Yuichi; Cheng; Jingde','A database system for effective utilization of ISO/IEC 27002','4th International Conference on Frontier of Computer Science and Technology; FCST 2009','978-0-7695-3932-4',,'10.1109/FCST.2009.88',,'ISO/IEC 27002 is an international standard for ISM . Although many organizations need to manage their information systems according to ISO/IEC 27002; ISO/IEC 27002 is not convenient for users to retrieve terms; definitions; and security controls and to make documents for ISM  because the ISO/IEC 27002 is distributed only in form of booklet or PDF. On the other hand; ISEE; an InformationSecurity  engineering environment; has been proposed to support all tasks in from requirement analysis to maintenance of security facilities of software/information systems. ISEDS; an InformationSecurity  engineering database system; as a main component of ISEE; is planed manage all ISO standards related with InformationSecurity  and their concerning documents. This paper presents a database system for effective utilization of ISO/IEC 27002 that is obtained by adding ISO/IEC 27002 and related documents into ISEDS. The paper analyzes usages of ISO/IEC 27002; gives requirement analysis of the database system; presents a design and construction of the database system; and shows a usage example. The paper also investigates a systematic method to construct databases of ISO standards for InformationSecurity  in ISEDS.',2009,'2018-11-29 12:52:48','2018-11-29 12:52:48',,'607–612',,,,,,,,,,,'IEEE Comp Soc; TCSC; Shanghai Jiao Tong Univ; SCS',,,,,,,,,,,,,'ISMS; ISM ; InformationSecurity  engineering environment; ISO/IEC 27002',,'Guo; MY and Tang; FL and Shen; Y',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'SGE8WIJS','conferencePaper',2016,'Hassan; Wan; Wan; Basri; Widyarto; Setyawan','A Formulation and Development Process of InformationSecurity  Policy in Higher Education','Proceeding the 1st International Conference on Engineering and Apllied Science (InCEAS) 2016; ISBN : 978-602-14930-8-3','978-602-14930-8-3',,,'http://inceas.org','Higher education open for the large of security threats since this organization has a large of information system; large users and enormous of InformationTechnology usage. Since the InformationSecurity  policy is one of the best security control to protect information asset; this paper posits an appropriate formulation and development process of security policy in higher education. The security policies are not easy to create and the process of formulation a security policy is challenging; lack of resources; time-consuming and expensive. Sometimes; copied security policy template from another organization also may not have done a sufficient job to address the issue in terms of compliance with applicable rules and regulations even though the copied of policy was properly developed; referenced; cited in laws or regulations and interpreted correctly. In addition; the policies may differ significantly in the way the policy and procedures are set forth because of different types of organization; culture; technology changes; users and management support. The primary objective of this paper is to develop a generic model for the formulation and development process of an InformationSecurity  policy in higher education. A content analysis and case study methods are used in this study in order to obtain a deep understanding of the processes that are critical to the InformationSecurity  policy development. The proposed model hopefully can help the ICT managers; researchers; academicians and other people who are interested in this domain on achieving success determinants for ISM  in higher education.',2016,'2018-11-29 12:52:48','2018-11-29 12:52:48',,'125–139',,,,,,,,,,,'Univ Muhammadiyah Purwokerto; Fac Engn',,,,,,,,,,,,,'InformationSecurity  policy; information asset; policy development',,'Hamka; HM',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'UJQ9FFS6','conferencePaper',2016,'Angheluta; Dragos-Ionut; Lupu; Luminita-Mihaela','a Framework for ISM ','From Management of Crisis To Management in a Time of Crisis',,,,,'Purpose - The bibliographic research of the possibilities of designing a model for ISM (ISM) in organizations; which is not to be limited to technological infrastructure level; but should also include human resource. At the same time; it aims to increase the efficiency of organizations through InformationSecurity  (IS) and intelligence activities. Methodology/approach - The research methodology shows a gradual approach from the generality of the theme to its particularities; through the conceptualization of research models in each separate direction. The methodological model structure includes the following items: Findings - The very high vulnerability of organizations regarding IS and the possibility of increasing their efficiency by securing the information and intelligence activities. The importance and the role of human resources in ISM. Research limitations/implications - The relatively low number of practical studies Practical implications - Schematizing a framework which is not to be limited only to IS; but should also include increasing the organizations efficiency through securing its information and intelligence activities. Originality/value - Having structured the investigation on the identified research directions has allowed a methodologically organized approach in the IS context and the construction of a number of methodological modules that determine clearly the approach lines of research within organizations.',2016,'2018-11-29 12:52:49','2018-11-29 12:52:49',,'2–16',,,,,,,'Review of Management and Economic Engineering International Management Conference',,,,'Romanian Managers & Econ Engineers Assoc; Tech Univ Cluj Napoca; Asociatia Conducatorilor Activitati Doctorat Excelenta Managementul Ingn Afacerilor',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'LEPNNVEU','conferencePaper',2014,'Dotcenko; Sergei; Vladyko; Andrei; Letenko; Ivan','A Fuzzy Logic-Based ISM  for Software-Defined Networks','2014 16Th International Conference on Advanced Communication Technology (Icact)','978-89-968650-3-2',,,,'In terms of network security; software-defined networks (SDN) offer researchers unprecedented control over network infrastructure and define a single point of control over the data flows routing of all network infrastructure. OpenFlow protocol is an embodiment of the software-defined networking paradigm. OpenFlow network security applications can implement more complex logic processing flows than their permission or prohibition. Such applications can implement logic to provide complex quarantine procedures; or redirect malicious network flows for their special treatment. Security detection and intrusion prevention algorithms can be implemented as OpenFlow security applications; however; their implementation is often more concise and effective. In this paper we considered the algorithm of the  ISM  based on soft computing; and implemented a prototype of the intrusion detection system (IDS) for software-defined network; which consisting of statistic collection and processing module and decision-making module. These modules were implemented in the form of application for the Beacon controller in Java. Evaluation of the system was carried out on one of the main problems of network security - identification of hosts engaged in malicious network scanning. For evaluation of the modules work we used mininet environment; which provides rapid prototyping for OpenFlow network. The proposed algorithm combined with the decision making based on fuzzy rules has shown better results than the security algorithms used separately. In addition the number of code lines decreased by 20-30%; as well as the opportunity to easily integrate the various external modules and libraries; thus greatly simplifies the implementation of the algorithms and decision-making system.',2014,'2018-11-29 12:52:49','2018-11-29 12:52:49',,'167–171',,,,,,,'International Conference on Advanced Communication Technology',,,,'Global InformationTechnology Res Inst; IEEE Commun Soc; Natl Informat Soc Agcy; Elect Telecommunicat Res Inst; Korean Inst Commun Sci; IEEK Commun Soc; Korean Inst Informat Scientists & Engineers; Open Stand & Internet Assoc; Korean Inst Informat Secur & Crytol',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'89VFLXXJ','conferencePaper',2017,'Tjirare; Diana Jogbeth; Shava; Fungai Bhunu','A gap analysis of the ISO/IEC 27000 standard implementation in Namibia','2017 IST-Africa Week Conference; IST-Africa 2017','978-1-905824-57-1',,'10.23919/ISTAFRICA.2017.8102376',,'To ensure that the information asset is protected and available to organisations; InformationSecurity  needs to be governed by security standards. The ISO/IEC 27000 family of standards is one such standard; it keeps information assets secure and provides an ISM  best practises framework. Despite its importance; the usage and adoption of the ISO/IEC 27000 standards is missing in Namibian organisations. An exploratory pilot survey conducted in 2015 with the key stakeholders namely the Communications Regulatory Authority; Internet Service Providers and government departments revealed that these standards are not being implemented at all. Based on literature review and the preliminary surveys; this paper presents the extent to which the ISO/IEC 27000 implementation framework is adopted in Namibia. The study will focus on the implementation extent for ISO 27000; 27001; 27002; 27003 and 27004 as these are the critical standards to the security posture of any organisation. A qualitative case study research approach with security critical organisations in Namibia was used for this study. Surveys and interviews were used to collect data from purposefully identified key stakeholders. The stakeholders offered rich information about the phenomenon under study. The survey results were used to evaluate the extent of implementation and the factors contributing to the poor implementation. A theoretical framework was derived from the findings and is thus presented in this paper. The factors making up the theoretical framework will be used as a basis in designing a policy framework for the adoption of security standards by organisations in Namibia to secure its critical assets; manage risks more effectively; improve and maintain customer confidence; demonstrate conformance to international best practice; avoid brand damage and change its InformationSecurity  posture as the technology is evolving. ',2017,'2018-11-29 12:52:49','2018-11-29 12:52:49',,,,,,,,,,,,,,,,,,,,,,,,,,'InformationSecurity ; InformationSecurity  Policies; ISO 27000; Policy framework; Security policy',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3VV4XIQJ','journalArticle',2016,'Kim; Hyeri; Park; Sangho; Chang; Hangbae','A gap analysis study between multimedia security research and education by meta data analysis','Multimedia Tools and Applications',,15737721,'10.1007/s11042-016-3503-2',,'Studies are increasing on seeking to cultivate multimedia security   professional personnel by providing core knowledge necessary for the   safe use of multimedia information. Time is needed for such academic   studies to be applied to actual education. However; it should be quickly   applicable to security professional education according to the   characteristics of the security industry that is very sensitive to a   fast-changing environment. For the purpose of examining research trends   in the area of multimedia security; a network analysis was conducted   focusing on keywords to understand the correlation among studies by   analyzing well-known academic journals and identifying the directional   nature of research. Based on the keywords researched; a meta-analysis   was conducted. The result showed that the highest frequency keyword was   `certification and keywords formed correlations affecting research   trends. For consistency between such research and studies; it is   important to increase the relative importance of the multimedia   ISM  area subject through which the business   of companies can be understood. It is also necessary to create balanced   thinking and a perspective for multimedia security.',2016,'2018-11-29 12:52:50','2018-11-29 12:52:50',,'12779–12793',,20,75,,,,,,,,,,,,,,,,,,,,,'Security education; Social network analysis; Meta-analysis; Multimedia security research trends',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'E555N7FZ','conferencePaper',2005,'Valdevit; Thierry; Mayer; Nicolas','a Gap Analysis Tool for Smes Targeting Iso / Iec 27001 Compliance','Information Systems','9789898425065 (ISBN)',,,,'Current trends indicate that InformationSecurity  is critical for todays enterprises. As managers realise they cannot ignore the potential security risks; they tend to turn to the ISO/IEC 27001 standard; in order to implement an  ISM  (ISMS). While being adopted by large companies; ISMS are still considered as out of range by numerous smaller entities. To help SMEs to access to ISO/IEC 27001 certification is still a challenge. In this context; the initial step of an ISMS implementation project is significant: a gap analysis highlighting the current status of the enterprise with regards to the standard; and thus the resources needed to succeed in this project. This paper presents the method and research works performed in order to design; experiment and improve a SME-oriented gap analysis tool for ISO/IEC 27001.',2005,'2018-11-29 12:52:50','2018-11-29 12:52:50',,'413–416',,,,,,,,,,,'Inst Syst & Technol Informat; Control & Commun',,,,,,,,,,,,,,,'Filipe; J and Cordeiro; J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
